iter	Passed	Remaining
0	56	56248
1	59	29785
2	61	20586
3	64	15971
4	66	13229
5	68	11352
6	70	9960
7	71	8911
8	74	8219
9	76	7556
10	78	7014
11	79	6563
12	81	6219
13	83	5909
14	85	5631
15	87	5376
16	89	5151
17	90	4957
18	92	4782
19	94	4619
20	96	4476
21	98	4366
22	99	4246
23	101	4136
24	103	4032
25	105	3935
26	106	3845
27	108	3761
28	110	3686
29	112	3627
30	114	3564
31	116	3510
32	117	3454
33	120	3410
34	121	3354
35	123	3300
36	124	3251
37	126	3204
38	128	3174
39	131	3157
40	133	3116
41	134	3077
42	136	3040
43	138	3012
44	140	2986
45	142	2953
46	144	2932
47	146	2905
48	148	2882
49	150	2862
50	152	2838
51	154	2813
52	155	2786
53	157	2762
54	159	2741
55	162	2742
56	164	2718
57	166	2696
58	167	2675
59	169	2654
60	171	2632
61	172	2612
62	174	2598
63	176	2581
64	178	2562
65	179	2544
66	181	2527
67	183	2510
68	184	2494
69	186	2477
70	188	2461
71	190	2455
72	192	2447
73	194	2432
74	196	2418
75	197	2405
76	199	2392
77	201	2379
78	203	2368
79	204	2355
80	206	2343
81	208	2333
82	210	2321
83	211	2310
84	213	2298
85	215	2287
86	216	2276
87	218	2265
88	220	2255
89	222	2248
90	225	2248
91	226	2238
92	228	2229
93	230	2219
94	231	2209
95	233	2199
96	235	2190
97	237	2181
98	238	2173
99	240	2167
100	242	2159
101	244	2152
102	246	2143
103	247	2135
104	249	2127
105	251	2119
106	252	2111
107	255	2110
108	257	2103
109	259	2096
110	261	2090
111	262	2082
112	264	2074
113	266	2067
114	267	2060
115	269	2053
116	271	2047
117	273	2042
118	275	2036
119	276	2030
120	278	2023
121	280	2016
122	281	2009
123	283	2002
124	285	1996
125	286	1989
126	289	1990
127	291	1984
128	292	1977
129	294	1971
130	296	1965
131	297	1959
132	299	1953
133	301	1947
134	303	1941
135	305	1942
136	307	1937
137	309	1931
138	310	1925
139	312	1920
140	314	1915
141	316	1909
142	318	1910
143	320	1905
144	322	1902
145	324	1897
146	325	1891
147	327	1886
148	329	1881
149	331	1875
150	332	1870
151	334	1865
152	336	1861
153	338	1857
154	340	1854
155	342	1850
156	344	1847
157	345	1842
158	347	1837
159	349	1832
160	350	1828
161	353	1829
162	355	1826
163	357	1821
164	359	1816
165	360	1812
166	362	1807
167	364	1802
168	365	1798
169	367	1793
170	369	1790
171	371	1787
172	372	1782
173	374	1778
174	376	1774
175	378	1770
176	379	1766
177	381	1762
178	383	1757
179	384	1753
180	386	1749
181	388	1747
182	390	1742
183	392	1738
184	393	1734
185	395	1731
186	397	1727
187	399	1723
188	400	1719
189	402	1717
190	404	1714
191	406	1711
192	408	1707
193	410	1703
194	411	1699
195	413	1695
196	415	1691
197	416	1688
198	418	1685
199	420	1682
200	422	1679
201	424	1675
202	425	1671
203	427	1668
204	429	1664
205	430	1660
206	432	1657
207	434	1653
208	436	1650
209	438	1647
210	440	1647
211	442	1643
212	443	1640
213	445	1636
214	447	1633
215	449	1629
216	451	1627
217	453	1625
218	454	1621
219	456	1618
220	458	1615
221	459	1612
222	461	1608
223	463	1605
224	465	1601
225	467	1600
226	469	1599
227	471	1596
228	473	1592
229	474	1589
230	476	1586
231	478	1582
232	479	1579
233	481	1576
234	483	1574
235	485	1572
236	487	1569
237	489	1566
238	490	1563
239	492	1560
240	494	1556
241	496	1554
242	497	1550
243	500	1549
244	502	1547
245	503	1544
246	505	1541
247	507	1539
248	509	1535
249	510	1532
250	512	1529
251	514	1526
252	516	1525
253	518	1523
254	520	1521
255	522	1518
256	524	1515
257	525	1511
258	527	1509
259	529	1506
260	530	1503
261	534	1505
262	536	1502
263	538	1499
264	539	1497
265	541	1494
266	543	1492
267	545	1489
268	547	1487
269	549	1486
270	551	1484
271	553	1481
272	555	1478
273	557	1475
274	558	1473
275	560	1470
276	562	1467
277	564	1464
278	566	1465
279	568	1462
280	570	1459
281	572	1456
282	573	1453
283	575	1450
284	577	1448
285	578	1445
286	580	1442
287	582	1440
288	584	1438
289	586	1435
290	588	1432
291	590	1430
292	591	1427
293	593	1425
294	595	1422
295	597	1420
296	599	1418
297	601	1415
298	602	1413
299	604	1410
300	606	1407
301	607	1404
302	609	1402
303	611	1399
304	613	1397
305	615	1395
306	618	1395
307	619	1392
308	621	1389
309	623	1387
310	625	1384
311	626	1382
312	628	1379
313	630	1377
314	632	1375
315	634	1373
316	636	1370
317	638	1368
318	639	1365
319	641	1363
320	643	1360
321	645	1358
322	646	1356
323	648	1354
324	650	1351
325	652	1349
326	654	1346
327	655	1343
328	657	1341
329	659	1338
330	661	1336
331	663	1334
332	665	1332
333	667	1330
334	668	1327
335	670	1325
336	672	1322
337	674	1320
338	675	1317
339	677	1315
340	679	1312
341	681	1310
342	683	1308
343	684	1306
344	686	1303
345	688	1301
346	690	1298
347	691	1296
348	693	1293
349	695	1291
350	697	1289
351	699	1287
352	700	1284
353	702	1282
354	705	1281
355	706	1278
356	708	1276
357	710	1273
358	712	1271
359	713	1269
360	715	1266
361	717	1264
362	719	1261
363	720	1259
364	722	1257
365	724	1254
366	726	1252
367	728	1250
368	730	1249
369	732	1246
370	734	1244
371	735	1242
372	737	1239
373	739	1237
374	741	1235
375	742	1232
376	745	1231
377	747	1229
378	748	1226
379	750	1224
380	752	1222
381	753	1219
382	755	1217
383	757	1214
384	759	1212
385	761	1210
386	763	1208
387	764	1206
388	766	1204
389	768	1201
390	770	1199
391	772	1197
392	773	1195
393	775	1192
394	777	1190
395	779	1189
396	781	1186
397	783	1184
398	784	1182
399	786	1179
400	788	1177
401	790	1175
402	792	1173
403	794	1171
404	796	1169
405	797	1167
406	799	1165
407	801	1162
408	803	1160
409	805	1158
410	807	1156
411	808	1154
412	811	1153
413	813	1150
414	814	1148
415	816	1146
416	818	1144
417	820	1141
418	821	1139
419	823	1137
420	825	1134
421	828	1134
422	829	1132
423	831	1129
424	833	1127
425	835	1125
426	836	1122
427	838	1120
428	840	1118
429	842	1116
430	844	1114
431	846	1112
432	847	1110
433	849	1107
434	851	1105
435	852	1103
436	854	1101
437	856	1098
438	858	1096
439	860	1094
440	861	1092
441	863	1090
442	865	1088
443	867	1085
444	868	1083
445	870	1081
446	872	1079
447	874	1076
448	876	1075
449	877	1072
450	879	1070
451	881	1068
452	883	1066
453	884	1064
454	886	1062
455	888	1059
456	890	1057
457	892	1055
458	893	1053
459	895	1051
460	897	1049
461	899	1046
462	900	1044
463	902	1042
464	904	1040
465	906	1039
466	908	1037
467	910	1035
468	912	1032
469	914	1030
470	915	1028
471	917	1026
472	919	1024
473	920	1022
474	922	1019
475	924	1017
476	926	1015
477	928	1013
478	929	1011
479	931	1009
480	933	1007
481	935	1004
482	936	1002
483	938	1000
484	940	998
485	942	996
486	944	994
487	945	992
488	947	990
489	949	988
490	951	986
491	952	983
492	954	981
493	956	980
494	958	978
495	960	976
496	962	973
497	963	971
498	965	969
499	967	967
500	969	965
501	971	963
502	974	962
503	976	960
504	977	958
505	979	956
506	981	954
507	982	952
508	984	949
509	986	947
510	988	945
511	990	943
512	992	941
513	993	939
514	995	937
515	997	935
516	998	933
517	1000	931
518	1002	929
519	1004	926
520	1006	924
521	1007	922
522	1009	920
523	1011	918
524	1013	916
525	1014	914
526	1016	912
527	1018	910
528	1019	908
529	1021	906
530	1023	904
531	1025	902
532	1027	899
533	1028	897
534	1030	895
535	1032	893
536	1034	891
537	1035	889
538	1037	887
539	1039	885
540	1041	883
541	1043	881
542	1044	879
543	1046	877
544	1048	875
545	1050	873
546	1052	871
547	1054	869
548	1056	867
549	1057	865
550	1059	863
551	1061	861
552	1063	859
553	1064	857
554	1066	855
555	1068	853
556	1069	850
557	1072	849
558	1074	847
559	1076	845
560	1077	843
561	1079	841
562	1081	839
563	1082	837
564	1084	835
565	1086	833
566	1088	831
567	1090	829
568	1091	827
569	1093	825
570	1095	823
571	1097	821
572	1098	818
573	1101	817
574	1103	815
575	1105	813
576	1106	811
577	1108	809
578	1110	807
579	1112	805
580	1113	803
581	1115	801
582	1117	799
583	1119	797
584	1121	795
585	1123	793
586	1124	791
587	1126	789
588	1128	787
589	1130	785
590	1131	783
591	1133	781
592	1135	779
593	1137	777
594	1139	775
595	1140	773
596	1142	771
597	1144	769
598	1146	767
599	1147	765
600	1149	763
601	1151	761
602	1153	759
603	1155	757
604	1157	755
605	1158	753
606	1160	751
607	1162	749
608	1164	747
609	1166	745
610	1168	743
611	1170	742
612	1172	739
613	1173	737
614	1175	735
615	1177	734
616	1179	732
617	1181	730
618	1183	728
619	1186	727
620	1188	725
621	1189	722
622	1191	720
623	1192	718
624	1194	716
625	1195	714
626	1196	712
627	1198	709
628	1199	707
629	1201	705
630	1203	703
631	1204	701
632	1206	699
633	1207	697
634	1209	695
635	1211	693
636	1212	691
637	1214	689
638	1216	687
639	1218	685
640	1220	683
641	1222	681
642	1223	679
643	1225	677
644	1227	675
645	1229	673
646	1230	671
647	1232	669
648	1234	667
649	1236	665
650	1237	663
651	1239	661
652	1242	660
653	1244	658
654	1245	656
655	1247	654
656	1248	652
657	1250	650
658	1253	648
659	1255	646
660	1256	644
661	1258	642
662	1260	640
663	1261	638
664	1263	636
665	1264	634
666	1266	632
667	1268	630
668	1271	628
669	1273	627
670	1275	625
671	1276	623
672	1278	621
673	1281	619
674	1283	617
675	1285	615
676	1287	614
677	1288	612
678	1290	610
679	1292	608
680	1294	606
681	1297	604
682	1299	603
683	1301	601
684	1303	599
685	1304	597
686	1306	595
687	1308	593
688	1311	592
689	1314	590
690	1316	588
691	1318	586
692	1320	584
693	1322	583
694	1324	581
695	1326	579
696	1328	577
697	1330	575
698	1332	573
699	1334	571
700	1336	569
701	1338	568
702	1340	566
703	1342	564
704	1345	563
705	1347	561
706	1349	559
707	1351	557
708	1353	555
709	1355	553
710	1357	551
711	1359	549
712	1361	547
713	1362	545
714	1364	543
715	1366	542
716	1368	540
717	1370	538
718	1372	536
719	1374	534
720	1376	532
721	1378	530
722	1380	528
723	1381	526
724	1383	524
725	1385	522
726	1387	521
727	1389	519
728	1391	517
729	1393	515
730	1394	513
731	1396	511
732	1399	509
733	1401	507
734	1403	505
735	1404	503
736	1406	501
737	1408	499
738	1410	498
739	1412	496
740	1414	494
741	1416	492
742	1418	490
743	1419	488
744	1422	486
745	1423	484
746	1425	482
747	1427	481
748	1430	479
749	1431	477
750	1433	475
751	1435	473
752	1437	471
753	1439	469
754	1441	467
755	1443	465
756	1445	464
757	1447	462
758	1449	460
759	1451	458
760	1452	456
761	1454	454
762	1456	452
763	1459	450
764	1460	448
765	1462	446
766	1464	444
767	1466	442
768	1468	441
769	1469	439
770	1472	437
771	1473	435
772	1476	433
773	1478	431
774	1480	429
775	1481	427
776	1483	425
777	1485	423
778	1488	422
779	1489	420
780	1491	418
781	1493	416
782	1495	414
783	1497	412
784	1499	410
785	1501	408
786	1503	406
787	1505	405
788	1507	403
789	1509	401
790	1511	399
791	1513	397
792	1515	395
793	1518	393
794	1519	391
795	1522	390
796	1523	388
797	1525	386
798	1527	384
799	1529	382
800	1531	380
801	1533	378
802	1534	376
803	1536	374
804	1538	372
805	1540	370
806	1542	368
807	1544	366
808	1546	365
809	1548	363
810	1549	361
811	1552	359
812	1553	357
813	1555	355
814	1557	353
815	1559	351
816	1561	349
817	1563	347
818	1565	345
819	1567	343
820	1568	342
821	1570	340
822	1572	338
823	1574	336
824	1576	334
825	1578	332
826	1580	330
827	1582	328
828	1584	326
829	1585	324
830	1588	323
831	1590	321
832	1592	319
833	1594	317
834	1595	315
835	1597	313
836	1599	311
837	1601	309
838	1603	307
839	1605	305
840	1607	303
841	1609	301
842	1611	300
843	1613	298
844	1615	296
845	1617	294
846	1619	292
847	1621	290
848	1623	288
849	1625	286
850	1627	284
851	1629	282
852	1631	281
853	1633	279
854	1635	277
855	1637	275
856	1639	273
857	1641	271
858	1643	269
859	1645	267
860	1647	265
861	1648	263
862	1650	262
863	1652	260
864	1654	258
865	1655	256
866	1657	254
867	1659	252
868	1663	250
869	1666	249
870	1669	247
871	1672	245
872	1676	243
873	1679	242
874	1681	240
875	1683	238
876	1685	236
877	1687	234
878	1691	232
879	1693	230
880	1695	229
881	1697	227
882	1699	225
883	1701	223
884	1703	221
885	1707	219
886	1709	217
887	1710	215
888	1712	213
889	1714	211
890	1716	210
891	1719	208
892	1721	206
893	1723	204
894	1725	202
895	1727	200
896	1729	198
897	1731	196
898	1733	194
899	1735	192
900	1737	190
901	1739	188
902	1741	187
903	1742	185
904	1744	183
905	1748	181
906	1750	179
907	1752	177
908	1753	175
909	1755	173
910	1757	171
911	1759	169
912	1762	167
913	1766	166
914	1770	164
915	1773	162
916	1775	160
917	1776	158
918	1779	156
919	1781	154
920	1785	153
921	1786	151
922	1788	149
923	1790	147
924	1792	145
925	1794	143
926	1797	141
927	1799	139
928	1801	137
929	1803	135
930	1805	133
931	1806	131
932	1808	129
933	1810	127
934	1813	126
935	1816	124
936	1818	122
937	1819	120
938	1821	118
939	1823	116
940	1826	114
941	1828	112
942	1830	110
943	1832	108
944	1834	106
945	1836	104
946	1838	102
947	1840	100
948	1842	98
949	1843	97
950	1845	95
951	1847	93
952	1849	91
953	1851	89
954	1853	87
955	1855	85
956	1857	83
957	1859	81
958	1861	79
959	1863	77
960	1865	75
961	1867	73
962	1869	71
963	1871	69
964	1873	67
965	1875	65
966	1877	64
967	1878	62
968	1880	60
969	1882	58
970	1884	56
971	1886	54
972	1888	52
973	1890	50
974	1892	48
975	1894	46
976	1896	44
977	1898	42
978	1900	40
979	1902	38
980	1904	36
981	1906	34
982	1907	32
983	1909	31
984	1911	29
985	1913	27
986	1915	25
987	1917	23
988	1919	21
989	1921	19
990	1923	17
991	1925	15
992	1928	13
993	1930	11
994	1932	9
