iter	Logloss
0	0.6575759459
1	0.6271768211
2	0.5997190328
3	0.5765858543
4	0.5559930921
5	0.5373365274
6	0.5204052878
7	0.5065918866
8	0.4938741557
9	0.4835712785
10	0.4734444221
11	0.4655469534
12	0.456143206
13	0.4488280114
14	0.4420139905
15	0.4342482132
16	0.4282203941
17	0.4230267494
18	0.4182164218
19	0.4134702567
20	0.4086263769
21	0.4047037143
22	0.4004511472
23	0.3970532624
24	0.3931076521
25	0.3894930166
26	0.385682067
27	0.3824258863
28	0.3793600491
29	0.3766501202
30	0.3738514672
31	0.3711702639
32	0.3688508788
33	0.3653362981
34	0.3633501746
35	0.3613979225
36	0.3593001632
37	0.3572891624
38	0.355810189
39	0.3543091207
40	0.3526608631
41	0.3511095614
42	0.3489725886
43	0.3466990915
44	0.3448425748
45	0.3436322284
46	0.3418305844
47	0.3404064011
48	0.3388062928
49	0.3365644202
50	0.3346697805
51	0.333185588
52	0.3315790192
53	0.3297451367
54	0.3284104895
55	0.327408139
56	0.3256229978
57	0.3236416355
58	0.3228601
59	0.3217672326
60	0.320324906
61	0.3193750043
62	0.3181127507
63	0.3166183834
64	0.3155488908
65	0.3148949057
66	0.3140283012
67	0.3130750692
68	0.3122188718
69	0.3111689769
70	0.3103344805
71	0.3095050335
72	0.3082812818
73	0.307462494
74	0.3067298209
75	0.3058588572
76	0.3047401438
77	0.3034955458
78	0.3025491396
79	0.301316271
80	0.3007401728
81	0.2997181941
82	0.2986750027
83	0.2974553688
84	0.2963311522
85	0.2950848973
86	0.2943324633
87	0.2930836717
88	0.2921414876
89	0.2913190886
90	0.290526712
91	0.2895649361
92	0.2890225011
93	0.2883056621
94	0.2876956267
95	0.2861701887
96	0.2856468017
97	0.2850716335
98	0.284176681
99	0.2833829445
100	0.2828030678
101	0.281852455
102	0.2810621573
103	0.2807084407
104	0.2801746552
105	0.2792691909
106	0.278822584
107	0.2782514299
108	0.2772225024
109	0.2763627604
110	0.275651924
111	0.2750090066
112	0.2742631945
113	0.2737821062
114	0.2732260752
115	0.2723212142
116	0.2713693863
117	0.2708291539
118	0.2703052152
119	0.2699668792
120	0.2689555355
121	0.2684432272
122	0.2679197388
123	0.2673778636
124	0.2667484581
125	0.2660812776
126	0.2652881632
127	0.2648302279
128	0.2644135762
129	0.2640290095
130	0.2636289276
131	0.2630639454
132	0.2625978372
133	0.262092605
134	0.2616931245
135	0.2608733767
136	0.2604678001
137	0.2600482954
138	0.25969496
139	0.2590186067
140	0.2587211884
141	0.2581016731
142	0.2575102009
143	0.2569965815
144	0.2564543749
145	0.2560481877
146	0.2555815384
147	0.2552251287
148	0.254490713
149	0.2539308028
150	0.2531597819
151	0.2526992431
152	0.2521989832
153	0.2515367642
154	0.2509633597
155	0.2505193907
156	0.2499349554
157	0.2494933196
158	0.2490164922
159	0.2486472923
160	0.2482994497
161	0.2475754197
162	0.2471887616
163	0.2466424875
164	0.2460908575
165	0.2456009049
166	0.2451619404
167	0.2447720025
168	0.2443306393
169	0.2439636477
170	0.243663609
171	0.24310546
172	0.2427499361
173	0.2424352253
174	0.2420134933
175	0.241362396
176	0.2409228756
177	0.240514018
178	0.2402890495
179	0.2398538488
180	0.239477355
181	0.2389283074
182	0.2385351418
183	0.2381119953
184	0.2376543444
185	0.2371938932
186	0.2368854768
187	0.2364571143
188	0.2359860467
189	0.2355307385
190	0.2351807208
191	0.2348990885
192	0.2345070845
193	0.2341805915
194	0.2337401772
195	0.2332434106
196	0.232857921
197	0.2325921719
198	0.2322979893
199	0.2318417094
200	0.2315096229
201	0.2312208245
202	0.2309041351
203	0.230539785
204	0.2300874584
205	0.2294687295
206	0.2291990628
207	0.2286344417
208	0.2284613558
209	0.2280764257
210	0.2276588462
211	0.2271952824
212	0.2268125651
213	0.2263452181
214	0.2260391571
215	0.2256222119
216	0.2253169679
217	0.2250218526
218	0.224408536
219	0.2240654322
220	0.2237139108
221	0.2232469969
222	0.2229048716
223	0.222543209
224	0.2220256218
225	0.2216122208
226	0.2212224572
227	0.2209006383
228	0.2204870948
229	0.220067192
230	0.2197326671
231	0.2193358132
232	0.2189132175
233	0.2186465653
234	0.2181359249
235	0.2177254548
236	0.2173899036
237	0.2171719182
238	0.2168588186
239	0.2166438773
240	0.2163263108
241	0.2159811025
242	0.2154821866
243	0.215132032
244	0.2146155507
245	0.2142818548
246	0.2138238172
247	0.2135077935
248	0.2131626593
249	0.2127763482
250	0.2124868538
251	0.2122120863
252	0.2119069028
253	0.2116263815
254	0.2113665973
255	0.2110674754
256	0.2107744504
257	0.2104928121
258	0.2102011722
259	0.2098588611
260	0.2095370526
261	0.2092493989
