iter	Passed	Remaining
0	108	108503
1	112	56202
2	116	38714
3	120	29920
4	123	24671
5	127	21150
6	131	18640
7	135	16800
8	139	15356
9	143	14193
10	147	13238
11	150	12432
12	155	11778
13	158	11195
14	163	10736
15	168	10337
16	172	9981
17	177	9694
18	182	9401
19	186	9122
20	191	8905
21	195	8680
22	199	8477
23	203	8294
24	208	8136
25	212	7963
26	216	7806
27	220	7663
28	224	7523
29	228	7404
30	233	7286
31	237	7195
32	242	7114
33	247	7034
34	251	6945
35	256	6864
36	260	6775
37	264	6702
38	269	6645
39	273	6570
40	278	6512
41	283	6458
42	288	6420
43	293	6380
44	298	6339
45	303	6293
46	307	6238
47	312	6194
48	317	6157
49	322	6121
50	326	6081
51	331	6044
52	335	6000
53	340	5959
54	344	5926
55	349	5890
56	353	5854
57	358	5824
58	363	5798
59	367	5760
60	372	5732
61	378	5723
62	384	5717
63	389	5695
64	394	5670
65	399	5652
66	404	5626
67	408	5596
68	413	5574
69	418	5554
70	423	5535
71	427	5507
72	431	5482
73	435	5451
74	440	5431
75	445	5419
76	450	5394
77	454	5372
78	459	5351
79	463	5330
80	468	5310
81	472	5294
82	477	5274
83	481	5254
84	486	5241
85	491	5225
86	495	5203
87	500	5187
88	505	5176
89	509	5154
90	514	5141
91	519	5127
92	524	5117
93	529	5098
94	533	5081
95	537	5064
96	542	5048
97	547	5036
98	552	5024
99	556	5009
100	561	4994
101	567	4994
102	573	4995
103	580	5002
104	586	4998
105	591	4986
106	596	4980
107	603	4983
108	608	4977
109	614	4975
110	619	4962
111	624	4950
112	628	4937
113	633	4919
114	637	4905
115	641	4891
116	645	4874
117	650	4862
118	654	4848
119	658	4830
120	662	4815
121	667	4800
122	670	4784
123	675	4773
124	679	4756
125	683	4744
126	688	4731
127	692	4716
128	697	4707
129	702	4699
130	706	4685
131	710	4673
132	714	4659
133	719	4647
134	723	4633
135	727	4621
136	731	4607
137	735	4594
138	739	4581
139	743	4567
140	747	4554
141	751	4542
142	756	4532
143	760	4522
144	765	4515
145	770	4508
146	775	4501
147	780	4491
148	784	4480
149	789	4473
150	794	4464
151	798	4453
152	803	4446
153	807	4436
154	811	4425
155	816	4419
156	821	4410
157	825	4401
158	830	4392
159	835	4384
160	839	4374
161	844	4366
162	848	4358
163	853	4349
164	857	4341
165	862	4330
166	866	4320
167	871	4314
168	875	4303
169	879	4293
170	884	4287
171	889	4282
172	893	4272
173	898	4267
174	903	4261
175	909	4260
176	914	4253
177	921	4255
178	926	4249
179	932	4245
180	937	4240
181	942	4234
182	946	4225
183	952	4223
