unified_id,stellar_id,disposition,orbital_period_days,transit_duration_hr,transit_depth_ppm,planet_radius_rearth,equilibrium_temp_k,insolation_flux_earth,stellar_teff_k,stellar_radius_rsun,stellar_logg_cgs,magnitude,mission
K00752.01,10797460,CONFIRMED,9.48803557,2.9575,615.8,2.26,793.0,93.59,5455.0,0.927,4.467,15.347,KEPLER
K00752.02,10797460,CONFIRMED,54.4183827,4.507,874.8,2.83,443.0,9.11,5455.0,0.927,4.467,15.347,KEPLER
K00753.01,10811496,CANDIDATE,19.89913995,1.7822,10829.0,14.6,638.0,39.3,5853.0,0.868,4.544,15.436,KEPLER
K00754.01,10848459,FALSE_POSITIVE,1.736952453,2.40641,8079.2,33.46,1395.0,891.96,5805.0,0.791,4.564,15.597,KEPLER
K00755.01,10854555,CONFIRMED,2.525591777,1.6545,603.3,2.75,1406.0,926.16,6031.0,1.046,4.438,15.509,KEPLER
K00756.01,10872983,CONFIRMED,11.09432054,4.5945,1517.5,3.9,835.0,114.81,6046.0,0.972,4.486,15.714,KEPLER
K00756.02,10872983,CONFIRMED,4.13443512,3.1402,686.0,2.77,1160.0,427.65,6046.0,0.972,4.486,15.714,KEPLER
K00756.03,10872983,CONFIRMED,2.56658897,2.429,226.5,1.59,1360.0,807.74,6046.0,0.972,4.486,15.714,KEPLER
K00114.01,6721123,FALSE_POSITIVE,7.36178958,5.022,233.7,39.21,1342.0,767.22,6227.0,1.958,3.986,12.66,KEPLER
K00757.01,10910878,CONFIRMED,16.06864674,3.5347,4914.3,5.76,600.0,30.75,5031.0,0.848,4.485,15.841,KEPLER
K00001.01,11446443,CONFIRMED,2.470613377,1.74319,14231.0,13.04,1339.0,761.46,5820.0,0.964,4.457,11.338,KEPLER
K00002.01,10666592,CONFIRMED,2.204735417,3.88864,6674.7,16.1,2048.0,4148.92,6440.0,1.952,4.019,10.463,KEPLER
K00010.01,6922244,CONFIRMED,3.522498429,3.19843,9145.7,14.59,1521.0,1264.67,6225.0,1.451,4.169,13.563,KEPLER
K00112.02,10984090,CONFIRMED,3.709214104,2.6302,131.1,1.16,1206.0,500.46,5833.0,1.022,4.407,12.772,KEPLER
K00742.01,10419211,FALSE_POSITIVE,11.521446064,3.6399,17984.0,150.51,753.0,75.88,5795.0,0.848,4.554,15.472,KEPLER
K00743.01,10464078,FALSE_POSITIVE,19.40393776,12.2155,8918.7,7.18,523.0,17.69,5043.0,0.68,4.591,15.487,KEPLER
K00744.01,10480982,FALSE_POSITIVE,19.221388942,4.79843,74284.0,49.29,698.0,55.97,6117.0,0.947,4.496,15.341,KEPLER
K00745.01,10485250,FALSE_POSITIVE,16.46983774,9.4378,10479.0,7.94,595.0,29.61,5152.0,0.786,4.517,15.788,KEPLER
K00746.01,10526549,CONFIRMED,9.27358173,3.2875,1288.3,2.47,649.0,41.85,4856.0,0.696,4.583,15.302,KEPLER
K00747.01,10583066,CONFIRMED,6.02930329,1.5821,1912.7,2.85,678.0,50.04,4537.0,0.672,4.648,15.784,KEPLER
K00748.01,10583180,FALSE_POSITIVE,2.696370652,3.6129,397.9,1.58,1066.0,305.34,4989.0,0.819,4.504,15.269,KEPLER
K00749.01,10601284,CONFIRMED,5.349553819,3.0278,831.0,2.55,919.0,168.99,5185.0,0.91,4.44,15.416,KEPLER
K00749.02,10601284,CONFIRMED,3.94105221,2.5984,363.3,1.7,1018.0,253.15,5185.0,0.91,4.44,15.416,KEPLER
K00749.03,10601284,CONFIRMED,8.10904807,3.596,217.4,1.3,800.0,97.03,5185.0,0.91,4.44,15.416,KEPLER
K00113.01,2306756,FALSE_POSITIVE,386.6030528,6.8057,24927.0,41.5,297.0,1.84,5543.0,1.58,4.081,12.394,KEPLER
K00750.01,10662202,CONFIRMED,21.67699193,3.4555,857.2,2.95,530.0,18.64,4954.0,0.828,4.5,15.377,KEPLER
K00751.01,10682541,CONFIRMED,4.99677968,2.1717,934.7,2.78,917.0,166.95,5339.0,0.847,4.552,15.861,KEPLER
K00769.01,11460018,CONFIRMED,4.280963604,2.875,750.8,2.3,1012.0,247.87,5644.0,0.831,4.564,15.356,KEPLER
K00770.01,11463211,FALSE_POSITIVE,1.50635409,1.5155,2211.7,4.53,1452.0,1054.12,5714.0,0.831,4.563,15.525,KEPLER
K00771.01,11465813,FALSE_POSITIVE,670.645531,53.412,18091.0,14.14,196.0,0.35,5520.0,0.983,4.466,15.207,KEPLER
K00772.01,11493732,FALSE_POSITIVE,61.2563628,7.633,5123.3,39.87,505.0,15.43,6144.0,1.091,4.402,15.25,KEPLER
